OpnameDatum;Gas;;;
01-08-22;3441;3441;;
01-08-22;3441;0;;
03-08-22;3441;0;;
04-08-22;3441;0;;
05-08-22;3441;0;;
06-08-22;3442;1;;
07-08-22;3442;0;;
08-08-22;3442;0;;
09-08-22;3442;0;;
10-08-22;3442;0;;
11-08-22;3442;0;;
12-08-22;3443;1;;
13-08-22;3443;0;;
14-08-22;3443;0;;
15-08-22;3443;0;;
16-08-22;3444;1;;
17-08-22;3444;0;;
18-08-22;3445;1;;
19-08-22;3445;0;;
20-08-22;3445;0;;
21-08-22;3446;1;;
22-08-22;3446;0;;
23-08-22;3447;1;;
24-08-22;3447;0;;
25-08-22;3447;0;;
26-08-22;3448;1;;
27-08-22;3448;0;;
28-08-22;3448;0;;
29-08-22;3449;1;;
30-08-22;3449;0;;
31-08-22;3450;1;;
01-09-22;3450;0;;
02-09-22;3451;1;;
03-09-22;3451;0;;
04-09-22;3451;0;;
05-09-22;3451;0;;
06-09-22;3452;1;;
07-09-22;3452;0;;
08-09-22;3453;1;;
09-09-22;3453;0;;
10-09-22;3453;0;;
11-09-22;3454;1;;
12-09-22;3454;0;;
13-09-22;3454;0;;
14-09-22;3455;1;;
15-09-22;3455;0;;
16-09-22;3456;1;;
17-09-22;3456;0;;
18-09-22;3456;0;;
19-09-22;3457;1;;
20-09-22;3457;0;;
21-09-22;3458;1;;
22-09-22;3458;0;;
23-09-22;3459;1;;
24-09-22;3459;0;;
25-09-22;3460;1;;
26-09-22;3461;1;;
27-09-22;3461;0;;
28-09-22;3461;0;;
29-09-22;3462;1;;
30-09-22;3462;0;;
01-10-22;3462;0;;
02-10-22;3463;1;;
03-10-22;3464;1;;
04-10-22;3464;0;;
05-10-22;3464;0;;
06-10-22;3464;0;;
07-10-22;3465;1;;
08-10-22;3465;0;;
09-10-22;3466;1;;
10-10-22;3466;0;;
11-10-22;3466;0;;
12-10-22;3467;1;;
13-10-22;3467;0;;
14-10-22;3468;1;;
15-10-22;3469;1;;
16-10-22;3470;1;;
17-10-22;3470;0;;
18-10-22;3471;1;;
19-10-22;3471;0;;
20-10-22;3471;0;;
21-10-22;3472;1;;
22-10-22;3472;0;;
23-10-22;3473;1;;
24-10-22;3473;0;;
25-10-22;3474;1;;
26-10-22;3474;0;;
27-10-22;3474;0;;
28-10-22;3474;0;;
29-10-22;3474;0;;
30-10-22;3475;1;;
31-10-22;3476;1;;
01-11-22;3476;0;;
02-11-22;3476;0;;
03-11-22;3477;1;;
04-11-22;3477;0;;
05-11-22;3477;0;;
06-11-22;3478;1;;
07-11-22;3479;1;;38
